Date,Price,Open,High,Low,Vol.,Change %
"Mar 31, 2022",1949.20,1933.50,1949.90,1919.10,3.62K,0.81%
"Mar 30, 2022",1933.50,1918.40,1937.00,1914.50,17.77K,1.11%
"Mar 29, 2022",1912.20,1922.40,1929.40,1888.30,128.05K,-1.42%
"Mar 28, 2022",1939.80,1958.70,1959.80,1915.70,181.37K,-0.74%
"Mar 25, 2022",1954.20,1957.80,1965.10,1942.60,147.90K,-0.41%
"Mar 24, 2022",1962.20,1944.10,1967.20,1937.40,181.20K,1.29%
"Mar 23, 2022",1937.30,1920.90,1948.80,1915.60,153.31K,0.82%
"Mar 22, 2022",1921.50,1936.10,1939.50,1909.80,153.28K,-0.41%
"Mar 21, 2022",1929.50,1922.40,1941.80,1917.20,146.41K,0.01%
"Mar 18, 2022",1929.30,1943.90,1946.20,1918.00,150.88K,-0.72%
"Mar 17, 2022",1943.20,1928.40,1951.00,1924.00,149.83K,1.78%
"Mar 16, 2022",1909.20,1920.10,1930.10,1895.20,195.46K,-1.06%
"Mar 15, 2022",1929.70,1953.70,1956.90,1908.10,220.37K,-1.59%
"Mar 14, 2022",1960.80,1988.70,1994.80,1952.00,162.20K,-1.22%
"Mar 11, 2022",1985.00,2000.30,2004.00,1960.60,262.09K,-0.77%
"Mar 10, 2022",2000.40,1992.80,2015.10,1975.00,303.27K,0.61%
"Mar 09, 2022",1988.20,2060.20,2068.50,1981.00,360.35K,-2.70%
"Mar 08, 2022",2043.30,2001.00,2078.80,1985.80,447.65K,2.37%
"Mar 07, 2022",1995.90,1978.50,2007.50,1964.20,372.19K,1.49%
"Mar 04, 2022",1966.60,1938.50,1974.90,1931.50,241.53K,1.59%
"Mar 03, 2022",1935.90,1931.70,1944.60,1923.10,180.21K,0.71%
"Mar 02, 2022",1922.30,1945.30,1951.40,1916.00,227.98K,-1.11%
"Mar 01, 2022",1943.80,1908.40,1952.60,1903.00,224.00K,2.27%
"Feb 28, 2022",1900.70,1921.00,1935.20,1892.20,249.27K,0.69%
"Feb 25, 2022",1887.60,1906.50,1925.00,1884.40,229.78K,-2.01%
"Feb 24, 2022",1926.30,1911.90,1976.50,1878.60,423.05K,0.83%
"Feb 23, 2022",1910.40,1901.20,1912.90,1891.10,154.84K,0.16%
"Feb 22, 2022",1907.40,1903.50,1918.30,1889.70,334.59K,-0.24%
"Feb 21, 2022",1912.05,1907.80,1918.30,1889.70,-,0.21%
"Feb 20, 2022",1908.00,1900.80,1909.35,1900.80,-,0.43%
"Feb 18, 2022",1899.80,1901.40,1905.00,1888.00,161.75K,-0.12%
"Feb 17, 2022",1902.00,1872.00,1904.00,1869.70,268.55K,1.63%
"Feb 16, 2022",1871.50,1855.50,1874.60,1851.80,141.49K,0.82%
"Feb 15, 2022",1856.20,1873.80,1881.60,1845.40,214.88K,-0.71%
"Feb 14, 2022",1869.40,1862.20,1876.50,1851.90,231.02K,1.48%
"Feb 11, 2022",1842.10,1827.00,1867.40,1821.10,239.09K,0.26%
"Feb 10, 2022",1837.40,1834.00,1843.30,1821.80,227.46K,0.04%
"Feb 09, 2022",1836.60,1827.00,1837.10,1825.50,136.72K,0.48%
"Feb 08, 2022",1827.90,1821.50,1829.90,1816.00,142.41K,0.33%
"Feb 07, 2022",1821.80,1808.00,1824.60,1807.50,139.81K,0.77%
"Feb 04, 2022",1807.80,1805.40,1815.80,1792.10,177.71K,0.21%
"Feb 03, 2022",1804.10,1807.40,1809.50,1788.50,173.72K,-0.34%
"Feb 02, 2022",1810.30,1800.80,1812.00,1794.60,123.02K,0.49%
"Feb 01, 2022",1801.50,1798.90,1809.70,1796.20,128.88K,0.28%
"Jan 31, 2022",1796.40,1792.80,1800.90,1785.80,139.42K,0.55%
"Jan 28, 2022",1786.60,1799.60,1800.30,1780.60,217.15K,-0.47%
"Jan 27, 2022",1795.00,1821.40,1823.80,1792.70,206.38K,-2.02%
"Jan 26, 2022",1832.00,1850.70,1852.60,1816.40,154.39K,-1.24%
"Jan 25, 2022",1855.00,1846.00,1856.70,1836.80,77.99K,0.59%
"Jan 24, 2022",1844.20,1838.30,1847.20,1831.90,103.78K,0.55%
"Jan 21, 2022",1834.10,1842.60,1845.80,1830.60,68.74K,-0.59%
"Jan 20, 2022",1844.90,1842.90,1850.80,1838.40,80.38K,-0.03%
"Jan 19, 2022",1845.50,1816.40,1846.10,1811.60,88.81K,1.69%
"Jan 18, 2022",1814.90,1819.80,1825.20,1807.20,102.42K,-0.23%
"Jan 17, 2022",1819.05,1815.85,1822.90,1812.25,-,0.18%
"Jan 16, 2022",1815.75,1816.40,1818.10,1815.15,-,-0.18%
"Jan 14, 2022",1819.00,1823.50,1831.50,1816.80,25.16K,-0.27%
"Jan 13, 2022",1823.90,1828.00,1830.50,1814.30,86.51K,-0.32%
"Jan 12, 2022",1829.80,1823.70,1830.40,1816.90,45.50K,0.48%
"Jan 11, 2022",1821.00,1803.70,1825.50,1802.30,40.67K,1.09%
"Jan 10, 2022",1801.30,1798.00,1804.40,1792.00,39.84K,0.08%
"Jan 07, 2022",1799.90,1793.00,1800.70,1783.80,71.89K,0.47%
"Jan 06, 2022",1791.50,1813.50,1813.70,1788.00,33.20K,-1.97%
"Jan 05, 2022",1827.50,1817.00,1832.60,1811.60,10.32K,0.58%
"Jan 04, 2022",1817.00,1804.50,1819.50,1800.60,10.86K,0.81%
"Jan 03, 2022",1802.40,1832.90,1835.40,1800.50,9.97K,-1.56%
"Dec 31, 2021",1831.00,1819.10,1833.60,1818.00,5.23K,0.79%
"Dec 30, 2021",1816.60,1807.40,1820.30,1798.80,6.52K,0.46%
"Dec 29, 2021",1808.20,1809.80,1810.00,1791.90,3.24K,-0.28%
"Dec 28, 2021",1813.30,1814.90,1823.60,1808.00,2.64K,0.12%
"Dec 27, 2021",1811.10,1809.00,1816.80,1806.00,2.57K,0.06%
"Dec 24, 2021",1810.10,1810.10,1810.10,1810.10,-,-0.21%
"Dec 23, 2021",1814.00,1806.90,1814.20,1801.60,2.46K,0.52%
"Dec 22, 2021",1804.60,1791.80,1808.10,1788.60,1.60K,0.75%
